,st_KMeans,st_HDBSCAN,st_Agglomerative,ts_KMeans,ts_HDBSCAN,ts_Agglomerative,mm_KMeans,mm_HDBSCAN,mm_Agglomerative,lf_KMeans,lf_HDBSCAN,lf_Agglomerative
1934,13,0,1,15,0,39,11,11,2,2,0,1
1935,1,1,0,16,-1,83,8,2,6,14,-1,0
1936,4,1,0,6,22,16,8,2,6,4,0,0
1937,3,0,1,14,15,79,1,4,27,5,-1,1
1938,12,1,0,13,12,21,6,10,14,8,0,0
1939,14,-1,1,0,16,45,6,2,32,17,-1,1
1940,4,1,0,14,-1,5,2,3,4,13,0,0
1941,1,1,0,1,2,4,6,10,14,14,-1,0
1942,14,0,2,16,21,59,10,2,0,0,2,2
1943,0,-1,2,14,14,5,7,13,33,12,-1,1
1944,4,0,1,14,14,5,10,2,0,13,0,1
1945,13,0,1,18,-1,64,11,11,2,2,-1,1
1946,2,-1,2,20,-1,19,9,1,16,17,-1,2
1947,16,-1,0,17,-1,40,6,10,14,19,-1,0
1948,12,1,0,0,16,0,6,10,14,8,0,0
1949,1,1,0,20,10,88,8,5,11,14,-1,0
1950,11,0,1,15,-1,80,7,13,24,15,-1,1
1951,14,0,2,17,-1,33,14,0,8,0,-1,2
1952,3,0,1,1,-1,52,1,4,20,5,-1,1
1953,13,0,1,7,-1,28,7,-1,37,2,-1,1
1954,8,0,1,3,8,57,4,14,17,9,-1,1
1955,12,1,0,1,3,3,6,10,14,8,0,0
1956,16,1,0,5,-1,55,13,12,10,19,-1,0
1957,3,0,1,17,26,58,1,4,7,5,0,1
1958,4,1,0,17,23,47,2,3,4,13,0,0
1959,14,0,2,6,22,49,14,0,8,0,-1,2
1960,4,1,0,20,10,33,8,5,11,4,0,0
1961,1,1,0,0,18,34,6,2,32,4,0,0
1962,2,0,1,12,25,11,0,7,13,18,-1,1
1963,15,1,0,1,2,4,13,10,10,16,0,0
1964,3,0,1,1,2,4,1,4,1,5,0,1
1965,11,-1,1,13,21,69,7,13,24,18,-1,1
1966,8,0,1,5,13,14,1,4,20,9,-1,1
1967,3,0,1,1,2,4,1,4,27,5,0,1
1968,2,0,2,18,-1,25,0,7,13,11,2,2
1969,1,1,0,8,20,86,8,2,6,14,-1,0
1970,8,0,1,5,-1,55,10,2,0,9,-1,1
1971,3,0,1,1,3,4,1,4,1,5,0,1
